3.834s docker.service
2.612s webmin.service
2.475s usermin.service
2.244s dev-sdc2.device
2.124s systemd-journal-flush.service
1.386s containerd.service
1.216s NetworkManager.service
 621ms fwupd-refresh.service
 565ms systemd-fsck@dev-disk-by\x2duuid-f930646c\x2dbc94\x2d4268\x2db6ca\x2d4fc712ef4297.service
 543ms e2scrub_reap.service
 535ms fwupd.service
 530ms systemd-binfmt.service
 495ms systemd-resolved.service
 493ms systemd-fsck@dev-disk-by\x2duuid-f3429bc4\x2dea9b\x2d404a\x2da6a2\x2d8137803bebda.service
 442ms systemd-oomd.service
 439ms systemd-timesyncd.service
 414ms systemd-fsck@dev-disk-by\x2duuid-ceb76b09\x2db3bc\x2d49c0\x2dbcb4\x2d86dd6a9326f8.service
 366ms gnome-remote-desktop.service
 342ms user@1000.service
 336ms udisks2.service
 249ms netfilter-persistent.service
 244ms systemd-fsck@dev-disk-by\x2duuid-7c10e9c2\x2df146\x2d486e\x2dbd95\x2dcc18726e9f03.service
 228ms systemd-fsck@dev-disk-by\x2duuid-396d14e2\x2d37db\x2d4166\x2db436\x2d981ef9bbc149.service
 222ms tuned.service
 219ms accounts-daemon.service
 214ms power-profiles-daemon.service
 197ms opt.mount
 146ms thermald.service
 121ms rsyslog.service
 121ms systemd-fsck@dev-disk-by\x2duuid-0fb7cbc0\x2d591a\x2d462d\x2d9eaa\x2d05616b1072c2.service
 120ms apparmor.service
 120ms systemd-sysctl.service
 113ms polkit.service
 103ms dbus.service
 101ms systemd-udev-trigger.service
  98ms home.mount
  89ms systemd-tmpfiles-setup.service
  88ms update-notifier-download.service
  87ms backup.mount
  87ms data.mount
  83ms systemd-udevd.service
  70ms grub-common.service
  62ms wpa_supplicant.service
  48ms systemd-logind.service
  46ms systemd-journald.service
  46ms alsa-restore.service
  46ms ssh.service
  43ms share.mount
  43ms upower.service
  40ms run-rpc_pipefs.mount
  36ms keyboard-setup.service
  35ms systemd-tmpfiles-clean.service
  33ms packagekit.service
  26ms sysstat.service
  26ms systemd-tmpfiles-setup-dev-early.service
  24ms grub-initrd-fallback.service
  24ms nvidia-persistenced.service
  23ms dev-hugepages.mount
  23ms dev-mqueue.mount
  22ms sys-kernel-debug.mount
  20ms sys-kernel-tracing.mount
  19ms docker.socket
  17ms systemd-remount-fs.service
  16ms systemd-modules-load.service
  16ms plymouth-quit.service
  15ms plymouth-read-write.service
  14ms kmod-static-nodes.service
  14ms jupyterhub.mount
  13ms modprobe@configfs.service
  13ms modprobe@drm.service
  11ms systemd-random-seed.service
  11ms modprobe@fuse.service
  10ms rpcbind.service
   9ms rpc-statd-notify.service
   9ms openvpn.service
   8ms systemd-tmpfiles-setup-dev.service
   8ms systemd-update-utmp.service
   7ms systemd-rfkill.service
   7ms setvtrgb.service
   7ms console-setup.service
   7ms swap.img.swap
   6ms systemd-user-sessions.service
   6ms rtkit-daemon.service
   5ms sysstat-collect.service
   5ms proc-sys-fs-binfmt_misc.mount
   4ms user-runtime-dir@1000.service
   4ms systemd-update-utmp-runlevel.service
   3ms modprobe@loop.service
   3ms plymouth-quit-wait.service
   3ms rpc-statd.service
   3ms modprobe@dm_mod.service
   3ms sys-kernel-config.mount
   3ms modprobe@efi_pstore.service
   3ms sys-fs-fuse-connections.mount
